Sex;Provinces;Rates;Periodo;Total
Both sexes;National Total;Activity rate;2005QII;57.86
Both sexes;National Total;Activity rate;2005QI;57.38
Both sexes;National Total;Activity rate;2004QIV;57.12
Both sexes;National Total;Activity rate;2004QIII;56.93
Both sexes;National Total;Activity rate;2004QII;56.55
Both sexes;National Total;Activity rate;2004QI;56.24
Both sexes;National Total;Activity rate;2003QIV;56.25
Both sexes;National Total;Activity rate;2003QIII;56.15
Both sexes;National Total;Activity rate;2003QII;55.65
Both sexes;National Total;Activity rate;2003QI;55.28
Both sexes;National Total;Activity rate;2002QIV;54.95
Both sexes;National Total;Activity rate;2002QIII;54.92
Both sexes;National Total;Activity rate;2002QII;54.48
Both sexes;National Total;Activity rate;2002QI;54.06
Both sexes;National Total;Unemployment rate;2023QII;11.6
Both sexes;National Total;Unemployment rate;2023QI;13.26
Both sexes;National Total;Unemployment rate;2022QIV;12.87
Both sexes;National Total;Unemployment rate;2022QIII;12.67
Both sexes;National Total;Unemployment rate;2022QII;12.48
Both sexes;National Total;Unemployment rate;2022QI;13.65
Both sexes;National Total;Unemployment rate;2021QIV;13.33
Both sexes;National Total;Unemployment rate;2021QIII;14.57
Both sexes;National Total;Unemployment rate;2021QII;15.26
Both sexes;National Total;Unemployment rate;2021QI;15.98
Both sexes;National Total;Unemployment rate;2020QIV;16.13
Both sexes;National Total;Unemployment rate;2020QIII;16.26
Both sexes;National Total;Unemployment rate;2020QII;15.33
Both sexes;National Total;Unemployment rate;2020QI;14.41
Both sexes;National Total;Unemployment rate;2019QIV;13.78
Both sexes;National Total;Unemployment rate;2019QIII;13.92
Both sexes;National Total;Unemployment rate;2019QII;14.02
Both sexes;National Total;Unemployment rate;2019QI;14.7
Both sexes;National Total;Unemployment rate;2018QIV;14.45
Both sexes;National Total;Unemployment rate;2018QIII;14.55
Both sexes;National Total;Unemployment rate;2018QII;15.28
Both sexes;National Total;Unemployment rate;2018QI;16.74
Both sexes;National Total;Unemployment rate;2017QIV;16.55
Both sexes;National Total;Unemployment rate;2017QIII;16.38
Both sexes;National Total;Unemployment rate;2017QII;17.22
Both sexes;National Total;Unemployment rate;2017QI;18.75
Both sexes;National Total;Unemployment rate;2016QIV;18.63
Both sexes;National Total;Unemployment rate;2016QIII;18.91
Both sexes;National Total;Unemployment rate;2016QII;20
Both sexes;National Total;Unemployment rate;2016QI;21
Both sexes;National Total;Unemployment rate;2015QIV;20.9
Both sexes;National Total;Unemployment rate;2015QIII;21.18
Both sexes;National Total;Unemployment rate;2015QII;22.37
Both sexes;National Total;Unemployment rate;2015QI;23.78
Both sexes;National Total;Unemployment rate;2014QIV;23.7
Both sexes;National Total;Unemployment rate;2014QIII;23.67
Both sexes;National Total;Unemployment rate;2014QII;24.47
Both sexes;National Total;Unemployment rate;2014QI;25.93
Both sexes;National Total;Unemployment rate;2013QIV;25.73
Both sexes;National Total;Unemployment rate;2013QIII;25.65
Both sexes;National Total;Unemployment rate;2013QII;26.06
Both sexes;National Total;Unemployment rate;2013QI;26.94
Both sexes;National Total;Unemployment rate;2012QIV;25.77
Both sexes;National Total;Unemployment rate;2012QIII;24.79
Both sexes;National Total;Unemployment rate;2012QII;24.4
Both sexes;National Total;Unemployment rate;2012QI;24.19
Both sexes;National Total;Unemployment rate;2011QIV;22.56
Both sexes;National Total;Unemployment rate;2011QIII;21.28
Both sexes;National Total;Unemployment rate;2011QII;20.64
Both sexes;National Total;Unemployment rate;2011QI;21.08
Both sexes;National Total;Unemployment rate;2010QIV;20.11
Both sexes;National Total;Unemployment rate;2010QIII;19.59
Both sexes;National Total;Unemployment rate;2010QII;19.89
Both sexes;National Total;Unemployment rate;2010QI;19.84
Both sexes;National Total;Unemployment rate;2009QIV;18.66
Both sexes;National Total;Unemployment rate;2009QIII;17.75
Both sexes;National Total;Unemployment rate;2009QII;17.77
Both sexes;National Total;Unemployment rate;2009QI;17.24
Both sexes;National Total;Unemployment rate;2008QIV;13.79
Both sexes;National Total;Unemployment rate;2008QIII;11.23
Both sexes;National Total;Unemployment rate;2008QII;10.36
Both sexes;National Total;Unemployment rate;2008QI;9.6
Both sexes;National Total;Unemployment rate;2007QIV;8.57
Both sexes;National Total;Unemployment rate;2007QIII;8.01
Both sexes;National Total;Unemployment rate;2007QII;7.93
Both sexes;National Total;Unemployment rate;2007QI;8.42
Both sexes;National Total;Unemployment rate;2006QIV;8.26
Both sexes;National Total;Unemployment rate;2006QIII;8.08
Both sexes;National Total;Unemployment rate;2006QII;8.44
Both sexes;National Total;Unemployment rate;2006QI;9.03
Both sexes;National Total;Unemployment rate;2005QIV;8.71
Both sexes;National Total;Unemployment rate;2005QIII;8.41
Both sexes;National Total;Unemployment rate;2005QII;9.32
Both sexes;National Total;Unemployment rate;2005QI;10.17
Both sexes;National Total;Unemployment rate;2004QIV;10.53
Both sexes;National Total;Unemployment rate;2004QIII;10.74
Both sexes;National Total;Unemployment rate;2004QII;11.09
Both sexes;National Total;Unemployment rate;2004QI;11.5
Both sexes;National Total;Unemployment rate;2003QIV;11.37
Both sexes;National Total;Unemployment rate;2003QIII;11.3
Both sexes;National Total;Unemployment rate;2003QII;11.28
Both sexes;National Total;Unemployment rate;2003QI;11.99
Both sexes;National Total;Unemployment rate;2002QIV;11.61
Both sexes;National Total;Unemployment rate;2002QIII;11.49
Both sexes;National Total;Unemployment rate;2002QII;11.15
Both sexes;National Total;Unemployment rate;2002QI;11.55
Both sexes;National Total;Employment rate;2023QII;52.13
Both sexes;National Total;Employment rate;2023QI;50.78
Both sexes;National Total;Employment rate;2022QIV;50.99
Both sexes;National Total;Employment rate;2022QIII;51.4
Both sexes;National Total;Employment rate;2022QII;51.38
Both sexes;National Total;Employment rate;2022QI;50.51
Both sexes;National Total;Employment rate;2021QIV;50.83
Both sexes;National Total;Employment rate;2021QIII;50.52
Both sexes;National Total;Employment rate;2021QII;49.63
Both sexes;National Total;Employment rate;2021QI;48.47
Both sexes;National Total;Employment rate;2020QIV;48.81
Both sexes;National Total;Employment rate;2020QIII;48.43
Both sexes;National Total;Employment rate;2020QII;47.03
Both sexes;National Total;Employment rate;2020QI;49.8
Both sexes;National Total;Employment rate;2019QIV;50.64
Both sexes;National Total;Employment rate;2019QIII;50.54
Both sexes;National Total;Employment rate;2019QII;50.51
Both sexes;National Total;Employment rate;2019QI;49.78
Both sexes;National Total;Employment rate;2018QIV;50.14
Both sexes;National Total;Employment rate;2018QIII;50.18
Both sexes;National Total;Employment rate;2018QII;49.81
Both sexes;National Total;Employment rate;2018QI;48.67
Both sexes;National Total;Employment rate;2017QIV;49.07
Both sexes;National Total;Employment rate;2017QIII;49.27
Both sexes;National Total;Employment rate;2017QII;48.7
Both sexes;National Total;Employment rate;2017QI;47.76
Both sexes;National Total;Employment rate;2016QIV;47.97
Both sexes;National Total;Employment rate;2016QIII;48.07
Both sexes;National Total;Employment rate;2016QII;47.53
Both sexes;National Total;Employment rate;2016QI;46.84
Both sexes;National Total;Employment rate;2015QIV;47.01
Both sexes;National Total;Employment rate;2015QIII;46.9
Both sexes;National Total;Employment rate;2015QII;46.41
Both sexes;National Total;Employment rate;2015QI;45.32
Both sexes;National Total;Employment rate;2014QIV;45.61
Both sexes;National Total;Employment rate;2014QIII;45.44
Both sexes;National Total;Employment rate;2014QII;45.04
Both sexes;National Total;Employment rate;2014QI;44.05
Both sexes;National Total;Employment rate;2013QIV;44.46
Both sexes;National Total;Employment rate;2013QIII;44.64
Both sexes;National Total;Employment rate;2013QII;44.36
Both sexes;National Total;Employment rate;2013QI;43.97
Both sexes;National Total;Employment rate;2012QIV;44.71
Both sexes;National Total;Employment rate;2012QIII;45.54
Both sexes;National Total;Employment rate;2012QII;45.74
Both sexes;National Total;Employment rate;2012QI;45.72
Both sexes;National Total;Employment rate;2011QIV;46.69
Both sexes;National Total;Employment rate;2011QIII;47.58
Both sexes;National Total;Employment rate;2011QII;47.96
Both sexes;National Total;Employment rate;2011QI;47.48
Both sexes;National Total;Employment rate;2010QIV;48.13
Both sexes;National Total;Employment rate;2010QIII;48.54
Both sexes;National Total;Employment rate;2010QII;48.4
Both sexes;National Total;Employment rate;2010QI;48.17
Both sexes;National Total;Employment rate;2009QIV;48.8
Both sexes;National Total;Employment rate;2009QIII;49.39
Both sexes;National Total;Employment rate;2009QII;49.58
Both sexes;National Total;Employment rate;2009QI;49.97
Both sexes;National Total;Employment rate;2008QIV;52.03
Both sexes;National Total;Employment rate;2008QIII;53.47
Both sexes;National Total;Employment rate;2008QII;53.85
Both sexes;National Total;Employment rate;2008QI;53.94
Both sexes;National Total;Employment rate;2007QIV;54.38
Both sexes;National Total;Employment rate;2007QIII;54.73
Both sexes;National Total;Employment rate;2007QII;54.53
Both sexes;National Total;Employment rate;2007QI;53.94
Both sexes;National Total;Employment rate;2006QIV;54.01
Both sexes;National Total;Employment rate;2006QIII;53.99
Both sexes;National Total;Employment rate;2006QII;53.68
Both sexes;National Total;Employment rate;2006QI;53.03
Both sexes;National Total;Employment rate;2005QIV;53.02
Both sexes;National Total;Employment rate;2005QIII;52.99
Both sexes;National Total;Employment rate;2005QII;52.47
Both sexes;National Total;Employment rate;2005QI;51.54
Both sexes;National Total;Employment rate;2004QIV;51.1
Both sexes;National Total;Employment rate;2004QIII;50.82
Both sexes;National Total;Employment rate;2004QII;50.28
Both sexes;National Total;Employment rate;2004QI;49.77
Both sexes;National Total;Employment rate;2003QIV;49.86
Both sexes;National Total;Employment rate;2003QIII;49.8
Both sexes;National Total;Employment rate;2003QII;49.37
Both sexes;National Total;Employment rate;2003QI;48.65
Both sexes;National Total;Employment rate;2002QIV;48.57
Both sexes;National Total;Employment rate;2002QIII;48.61
Both sexes;National Total;Employment rate;2002QII;48.4
Both sexes;National Total;Employment rate;2002QI;47.82
Both sexes;02 Albacete;Activity rate;2023QII;59.61
Both sexes;02 Albacete;Activity rate;2023QI;59.31
Both sexes;02 Albacete;Activity rate;2022QIV;59.05
Both sexes;02 Albacete;Activity rate;2022QIII;57.47
Both sexes;02 Albacete;Activity rate;2022QII;58.07
Both sexes;02 Albacete;Activity rate;2022QI;58.16
Both sexes;02 Albacete;Activity rate;2021QIV;55.5
Both sexes;02 Albacete;Activity rate;2021QIII;59.12
Both sexes;02 Albacete;Activity rate;2021QII;58.13
Both sexes;02 Albacete;Activity rate;2021QI;58.17
Both sexes;02 Albacete;Activity rate;2020QIV;58.9
Both sexes;02 Albacete;Activity rate;2020QIII;56.47
Both sexes;02 Albacete;Activity rate;2020QII;53.56
Both sexes;02 Albacete;Activity rate;2020QI;56.58
Both sexes;02 Albacete;Activity rate;2019QIV;55.54
Both sexes;02 Albacete;Activity rate;2019QIII;56.05
Both sexes;02 Albacete;Activity rate;2019QII;55.95
Both sexes;02 Albacete;Activity rate;2019QI;57.38
Both sexes;02 Albacete;Activity rate;2018QIV;59.13
Both sexes;02 Albacete;Activity rate;2018QIII;59.41
Both sexes;02 Albacete;Activity rate;2018QII;60.4
Both sexes;02 Albacete;Activity rate;2018QI;58.97
Both sexes;02 Albacete;Activity rate;2017QIV;59.72
Both sexes;02 Albacete;Activity rate;2017QIII;57.98
Both sexes;02 Albacete;Activity rate;2017QII;58.81
Both sexes;02 Albacete;Activity rate;2017QI;57.42
Both sexes;02 Albacete;Activity rate;2016QIV;56.01
Both sexes;02 Albacete;Activity rate;2016QIII;54.14
Both sexes;02 Albacete;Activity rate;2016QII;56.84
Both sexes;02 Albacete;Activity rate;2016QI;56.19
Both sexes;02 Albacete;Activity rate;2015QIV;58.07
Both sexes;02 Albacete;Activity rate;2015QIII;57.72
Both sexes;02 Albacete;Activity rate;2015QII;58.19
Both sexes;02 Albacete;Activity rate;2015QI;57.21
Both sexes;02 Albacete;Activity rate;2014QIV;57.16
Both sexes;02 Albacete;Activity rate;2014QIII;56.83
Both sexes;02 Albacete;Activity rate;2014QII;57.17
Both sexes;02 Albacete;Activity rate;2014QI;57.46
Both sexes;02 Albacete;Activity rate;2013QIV;57.65
Both sexes;02 Albacete;Activity rate;2013QIII;59.53
Both sexes;02 Albacete;Activity rate;2013QII;58.3
Both sexes;02 Albacete;Activity rate;2013QI;57.73
Both sexes;02 Albacete;Activity rate;2012QIV;56.55
Both sexes;02 Albacete;Activity rate;2012QIII;56.18
Both sexes;02 Albacete;Activity rate;2012QII;57.73
Both sexes;02 Albacete;Activity rate;2012QI;58.32
Both sexes;02 Albacete;Activity rate;2011QIV;58.83
Both sexes;02 Albacete;Activity rate;2011QIII;59.92
Both sexes;02 Albacete;Activity rate;2011QII;60.11
Both sexes;02 Albacete;Activity rate;2011QI;58.58
Both sexes;02 Albacete;Activity rate;2010QIV;59.27
Both sexes;02 Albacete;Activity rate;2010QIII;58.72
Both sexes;02 Albacete;Activity rate;2010QII;59.15
Both sexes;02 Albacete;Activity rate;2010QI;57.83
Both sexes;02 Albacete;Activity rate;2009QIV;57.2
Both sexes;02 Albacete;Activity rate;2009QIII;59
Both sexes;02 Albacete;Activity rate;2009QII;58.4
Both sexes;02 Albacete;Activity rate;2009QI;60.21
Both sexes;02 Albacete;Activity rate;2008QIV;58.78
Both sexes;02 Albacete;Activity rate;2008QIII;59.82
Both sexes;02 Albacete;Activity rate;2008QII;58.29
Both sexes;02 Albacete;Activity rate;2008QI;58.41
Both sexes;02 Albacete;Activity rate;2007QIV;59.78
Both sexes;02 Albacete;Activity rate;2007QIII;59.23
Both sexes;02 Albacete;Activity rate;2007QII;57.55
Both sexes;02 Albacete;Activity rate;2007QI;57.86
Both sexes;02 Albacete;Activity rate;2006QIV;55.51
Both sexes;02 Albacete;Activity rate;2006QIII;55.84
Both sexes;02 Albacete;Activity rate;2006QII;55.61
Both sexes;02 Albacete;Activity rate;2006QI;54.83
Both sexes;02 Albacete;Activity rate;2005QIV;57
Both sexes;02 Albacete;Activity rate;2005QIII;56.77
Both sexes;02 Albacete;Activity rate;2005QII;54.61
Both sexes;02 Albacete;Activity rate;2005QI;54.23
Both sexes;02 Albacete;Activity rate;2004QIV;54.77
Both sexes;02 Albacete;Activity rate;2004QIII;52.96
Both sexes;02 Albacete;Activity rate;2004QII;52.6
Both sexes;02 Albacete;Activity rate;2004QI;54.9
Both sexes;02 Albacete;Activity rate;2003QIV;52.49
Both sexes;02 Albacete;Activity rate;2003QIII;52.59
Both sexes;02 Albacete;Activity rate;2003QII;51.55
Both sexes;02 Albacete;Activity rate;2003QI;50.5
Both sexes;02 Albacete;Activity rate;2002QIV;52.25
Both sexes;02 Albacete;Activity rate;2002QIII;51.71
Both sexes;02 Albacete;Activity rate;2002QII;50.56
Both sexes;02 Albacete;Activity rate;2002QI;49.22
Both sexes;02 Albacete;Unemployment rate;2023QII;12.73
Both sexes;02 Albacete;Unemployment rate;2023QI;13.61
Both sexes;02 Albacete;Unemployment rate;2022QIV;11
Both sexes;02 Albacete;Unemployment rate;2022QIII;10.7
Both sexes;02 Albacete;Unemployment rate;2022QII;12.41
Both sexes;02 Albacete;Unemployment rate;2022QI;16.57
Both sexes;02 Albacete;Unemployment rate;2021QIV;12.07
Both sexes;02 Albacete;Unemployment rate;2021QIII;15.49
Both sexes;02 Albacete;Unemployment rate;2021QII;14.65
Both sexes;02 Albacete;Unemployment rate;2021QI;19.77
Both sexes;02 Albacete;Unemployment rate;2020QIV;17.44
Both sexes;02 Albacete;Unemployment rate;2020QIII;17.48
Both sexes;02 Albacete;Unemployment rate;2020QII;17.41
Both sexes;02 Albacete;Unemployment rate;2020QI;20.72
Both sexes;02 Albacete;Unemployment rate;2019QIV;16.69
Both sexes;02 Albacete;Unemployment rate;2019QIII;16.5
Both sexes;02 Albacete;Unemployment rate;2019QII;17.7
Both sexes;02 Albacete;Unemployment rate;2019QI;17.85
Both sexes;02 Albacete;Unemployment rate;2018QIV;17.59
Both sexes;02 Albacete;Unemployment rate;2018QIII;16.86
Both sexes;02 Albacete;Unemployment rate;2018QII;20.66
Both sexes;02 Albacete;Unemployment rate;2018QI;23.82
Both sexes;02 Albacete;Unemployment rate;2017QIV;22.01
Both sexes;02 Albacete;Unemployment rate;2017QIII;20.81
Both sexes;02 Albacete;Unemployment rate;2017QII;25.32
Both sexes;02 Albacete;Unemployment rate;2017QI;24.48
Both sexes;02 Albacete;Unemployment rate;2016QIV;23.31
Both sexes;02 Albacete;Unemployment rate;2016QIII;23.06
Both sexes;02 Albacete;Unemployment rate;2016QII;24.27
Both sexes;02 Albacete;Unemployment rate;2016QI;24.67
Both sexes;02 Albacete;Unemployment rate;2015QIV;21.97
Both sexes;02 Albacete;Unemployment rate;2015QIII;23.28
Both sexes;02 Albacete;Unemployment rate;2015QII;24.66
Both sexes;02 Albacete;Unemployment rate;2015QI;28.82
Both sexes;02 Albacete;Unemployment rate;2014QIV;27.3
Both sexes;02 Albacete;Unemployment rate;2014QIII;29.03
Both sexes;02 Albacete;Unemployment rate;2014QII;26.62
Both sexes;02 Albacete;Unemployment rate;2014QI;27.12
Both sexes;02 Albacete;Unemployment rate;2013QIV;29
Both sexes;02 Albacete;Unemployment rate;2013QIII;30.53
Both sexes;02 Albacete;Unemployment rate;2013QII;30.59
Both sexes;02 Albacete;Unemployment rate;2013QI;33.83
Both sexes;02 Albacete;Unemployment rate;2012QIV;33.94
Both sexes;02 Albacete;Unemployment rate;2012QIII;32.17
Both sexes;02 Albacete;Unemployment rate;2012QII;32.36
Both sexes;02 Albacete;Unemployment rate;2012QI;29.2
Both sexes;02 Albacete;Unemployment rate;2011QIV;25.4
Both sexes;02 Albacete;Unemployment rate;2011QIII;25.74
Both sexes;02 Albacete;Unemployment rate;2011QII;24.41
Both sexes;02 Albacete;Unemployment rate;2011QI;23.31
Both sexes;02 Albacete;Unemployment rate;2010QIV;21.25
Both sexes;02 Albacete;Unemployment rate;2010QIII;22.2
Both sexes;02 Albacete;Unemployment rate;2010QII;24.06
Both sexes;02 Albacete;Unemployment rate;2010QI;23.15
Both sexes;02 Albacete;Unemployment rate;2009QIV;21.46
Both sexes;02 Albacete;Unemployment rate;2009QIII;19.17
Both sexes;02 Albacete;Unemployment rate;2009QII;19.98
Both sexes;02 Albacete;Unemployment rate;2009QI;18.47
Both sexes;02 Albacete;Unemployment rate;2008QIV;17
Both sexes;02 Albacete;Unemployment rate;2008QIII;11.47
Both sexes;02 Albacete;Unemployment rate;2008QII;10.37
Both sexes;02 Albacete;Unemployment rate;2008QI;9.95
Both sexes;02 Albacete;Unemployment rate;2007QIV;10.54
Both sexes;02 Albacete;Unemployment rate;2007QIII;7.66
Both sexes;02 Albacete;Unemployment rate;2007QII;9.07
Both sexes;02 Albacete;Unemployment rate;2007QI;9.38
Both sexes;02 Albacete;Unemployment rate;2006QIV;8.22
Both sexes;02 Albacete;Unemployment rate;2006QIII;11.76
Both sexes;02 Albacete;Unemployment rate;2006QII;10.8
Both sexes;02 Albacete;Unemployment rate;2006QI;9.28
Both sexes;02 Albacete;Unemployment rate;2005QIV;10.78
Both sexes;02 Albacete;Unemployment rate;2005QIII;10.54
Both sexes;02 Albacete;Unemployment rate;2005QII;7.2
Both sexes;02 Albacete;Unemployment rate;2005QI;10.84
Both sexes;02 Albacete;Unemployment rate;2004QIV;9.86
Both sexes;02 Albacete;Unemployment rate;2004QIII;9.05
Both sexes;02 Albacete;Unemployment rate;2004QII;7.73
Both sexes;02 Albacete;Unemployment rate;2004QI;9.38
Both sexes;02 Albacete;Unemployment rate;2003QIV;7.5
Both sexes;02 Albacete;Unemployment rate;2003QIII;7.74
Both sexes;02 Albacete;Unemployment rate;2003QII;7.51
Both sexes;02 Albacete;Unemployment rate;2003QI;8.05
Both sexes;02 Albacete;Unemployment rate;2002QIV;8.27
Both sexes;02 Albacete;Unemployment rate;2002QIII;7.46
Both sexes;02 Albacete;Unemployment rate;2002QII;5.43
Both sexes;02 Albacete;Unemployment rate;2002QI;6.58
Both sexes;02 Albacete;Employment rate;2023QII;52.02
Both sexes;02 Albacete;Employment rate;2023QI;51.24
Both sexes;02 Albacete;Employment rate;2022QIV;52.55
Both sexes;02 Albacete;Employment rate;2022QIII;51.32
Both sexes;02 Albacete;Employment rate;2022QII;50.86
Both sexes;02 Albacete;Employment rate;2022QI;48.52
Both sexes;02 Albacete;Employment rate;2021QIV;48.8
Both sexes;02 Albacete;Employment rate;2021QIII;49.96
Both sexes;02 Albacete;Employment rate;2021QII;49.62
Both sexes;02 Albacete;Employment rate;2021QI;46.67
Both sexes;02 Albacete;Employment rate;2020QIV;48.63
Both sexes;02 Albacete;Employment rate;2020QIII;46.61
Both sexes;02 Albacete;Employment rate;2020QII;44.23
Both sexes;02 Albacete;Employment rate;2020QI;44.85
Both sexes;02 Albacete;Employment rate;2019QIV;46.27
Both sexes;02 Albacete;Employment rate;2019QIII;46.8
Both sexes;02 Albacete;Employment rate;2019QII;46.05
Both sexes;02 Albacete;Employment rate;2019QI;47.13
Both sexes;02 Albacete;Employment rate;2018QIV;48.73
Both sexes;02 Albacete;Employment rate;2018QIII;49.39
Both sexes;02 Albacete;Employment rate;2018QII;47.92
Both sexes;02 Albacete;Employment rate;2018QI;44.92
Both sexes;02 Albacete;Employment rate;2017QIV;46.57
Both sexes;02 Albacete;Employment rate;2017QIII;45.92
Both sexes;02 Albacete;Employment rate;2017QII;43.92
Both sexes;02 Albacete;Employment rate;2017QI;43.36
Both sexes;02 Albacete;Employment rate;2016QIV;42.96
Both sexes;02 Albacete;Employment rate;2016QIII;41.65
Both sexes;02 Albacete;Employment rate;2016QII;43.05
Both sexes;02 Albacete;Employment rate;2016QI;42.33
Both sexes;02 Albacete;Employment rate;2015QIV;45.32
Both sexes;02 Albacete;Employment rate;2015QIII;44.28
Both sexes;02 Albacete;Employment rate;2015QII;43.84
Both sexes;02 Albacete;Employment rate;2015QI;40.72
Both sexes;02 Albacete;Employment rate;2014QIV;41.55
Both sexes;02 Albacete;Employment rate;2014QIII;40.33
Both sexes;02 Albacete;Employment rate;2014QII;41.95
Both sexes;02 Albacete;Employment rate;2014QI;41.88
Both sexes;02 Albacete;Employment rate;2013QIV;40.93
Both sexes;02 Albacete;Employment rate;2013QIII;41.36
Both sexes;02 Albacete;Employment rate;2013QII;40.46
Both sexes;02 Albacete;Employment rate;2013QI;38.2
Both sexes;02 Albacete;Employment rate;2012QIV;37.35
Both sexes;02 Albacete;Employment rate;2012QIII;38.11
Both sexes;02 Albacete;Employment rate;2012QII;39.05
Both sexes;02 Albacete;Employment rate;2012QI;41.29
Both sexes;02 Albacete;Employment rate;2011QIV;43.89
Both sexes;02 Albacete;Employment rate;2011QIII;44.49
Both sexes;02 Albacete;Employment rate;2011QII;45.44
Both sexes;02 Albacete;Employment rate;2011QI;44.92
Both sexes;02 Albacete;Employment rate;2010QIV;46.68
Both sexes;02 Albacete;Employment rate;2010QIII;45.69
Both sexes;02 Albacete;Employment rate;2010QII;44.92
Both sexes;02 Albacete;Employment rate;2010QI;44.45
Both sexes;02 Albacete;Employment rate;2009QIV;44.93
Both sexes;02 Albacete;Employment rate;2009QIII;47.69
Both sexes;02 Albacete;Employment rate;2009QII;46.73
Both sexes;02 Albacete;Employment rate;2009QI;49.08
Both sexes;02 Albacete;Employment rate;2008QIV;48.79
Both sexes;02 Albacete;Employment rate;2008QIII;52.96
Both sexes;02 Albacete;Employment rate;2008QII;52.24
Both sexes;02 Albacete;Employment rate;2008QI;52.6
Both sexes;02 Albacete;Employment rate;2007QIV;53.48
Both sexes;02 Albacete;Employment rate;2007QIII;54.69
Both sexes;02 Albacete;Employment rate;2007QII;52.33
Both sexes;02 Albacete;Employment rate;2007QI;52.43
Both sexes;02 Albacete;Employment rate;2006QIV;50.94
Both sexes;02 Albacete;Employment rate;2006QIII;49.27
Both sexes;02 Albacete;Employment rate;2006QII;49.6
Both sexes;02 Albacete;Employment rate;2006QI;49.74
Both sexes;02 Albacete;Employment rate;2005QIV;50.86
Both sexes;02 Albacete;Employment rate;2005QIII;50.79
Both sexes;02 Albacete;Employment rate;2005QII;50.68
Both sexes;02 Albacete;Employment rate;2005QI;48.35
Both sexes;02 Albacete;Employment rate;2004QIV;49.37
