sex,provinces,rates,year,total,quarter
Both sexes,05 Ávila,Activity rate,2008,52.98,1
Both sexes,05 Ávila,Unemployment rate,2008,15.21,4
Both sexes,05 Ávila,Unemployment rate,2008,11.53,3
Both sexes,05 Ávila,Unemployment rate,2008,9.53,2
Both sexes,05 Ávila,Unemployment rate,2008,8.83,1
Both sexes,05 Ávila,Employment rate,2008,44.6,4
Both sexes,05 Ávila,Employment rate,2008,47.14,3
Both sexes,05 Ávila,Employment rate,2008,47.92,2
Both sexes,05 Ávila,Employment rate,2008,48.3,1
Both sexes,06 Badajoz,Activity rate,2008,55.36,4
Both sexes,06 Badajoz,Activity rate,2008,55.35,3
Both sexes,06 Badajoz,Activity rate,2008,54.47,2
Both sexes,06 Badajoz,Activity rate,2008,53.48,1
Both sexes,06 Badajoz,Unemployment rate,2008,19.29,4
Both sexes,06 Badajoz,Unemployment rate,2008,14.98,3
Both sexes,06 Badajoz,Unemployment rate,2008,15.2,2
Both sexes,06 Badajoz,Unemployment rate,2008,13.84,1
Both sexes,06 Badajoz,Employment rate,2008,44.68,4
Both sexes,06 Badajoz,Employment rate,2008,47.05,3
Both sexes,06 Badajoz,Employment rate,2008,46.19,2
Both sexes,06 Badajoz,Employment rate,2008,46.08,1
Both sexes,07 Balears. Illes,Activity rate,2008,64.1,4
Both sexes,07 Balears. Illes,Activity rate,2008,67.14,3
Both sexes,07 Balears. Illes,Activity rate,2008,65.86,2
Both sexes,07 Balears. Illes,Activity rate,2008,62.85,1
Both sexes,07 Balears. Illes,Unemployment rate,2008,12.05,4
Both sexes,07 Balears. Illes,Unemployment rate,2008,9.32,3
Both sexes,07 Balears. Illes,Unemployment rate,2008,8.4,2
Both sexes,07 Balears. Illes,Unemployment rate,2008,10.98,1
Both sexes,07 Balears. Illes,Employment rate,2008,56.38,4
Both sexes,07 Balears. Illes,Employment rate,2008,60.89,3
Both sexes,07 Balears. Illes,Employment rate,2008,60.33,2
Both sexes,07 Balears. Illes,Employment rate,2008,55.95,1
Both sexes,08 Barcelona,Activity rate,2008,64.18,4
Both sexes,08 Barcelona,Activity rate,2008,63.8,3
Both sexes,08 Barcelona,Activity rate,2008,64.25,2
Both sexes,08 Barcelona,Activity rate,2008,64.16,1
Both sexes,08 Barcelona,Unemployment rate,2008,11.37,4
Both sexes,08 Barcelona,Unemployment rate,2008,8.54,3
Both sexes,08 Barcelona,Unemployment rate,2008,7.1,2
Both sexes,08 Barcelona,Unemployment rate,2008,7.46,1
Both sexes,08 Barcelona,Employment rate,2008,56.89,4
Both sexes,08 Barcelona,Employment rate,2008,58.36,3
Both sexes,08 Barcelona,Employment rate,2008,59.69,2
Both sexes,08 Barcelona,Employment rate,2008,59.38,1
Both sexes,48 Bizkaia,Activity rate,2008,56.82,4
Both sexes,48 Bizkaia,Activity rate,2008,57.06,3
Both sexes,48 Bizkaia,Activity rate,2008,56.9,2
Both sexes,48 Bizkaia,Activity rate,2008,55.72,1
Both sexes,48 Bizkaia,Unemployment rate,2008,9.77,4
Both sexes,48 Bizkaia,Unemployment rate,2008,8.1,3
Both sexes,48 Bizkaia,Unemployment rate,2008,6.78,2
Both sexes,48 Bizkaia,Unemployment rate,2008,7.02,1
Both sexes,48 Bizkaia,Employment rate,2008,51.27,4
Both sexes,48 Bizkaia,Employment rate,2008,52.44,3
Both sexes,48 Bizkaia,Employment rate,2008,53.04,2
Both sexes,48 Bizkaia,Employment rate,2008,51.81,1
Both sexes,09 Burgos,Activity rate,2008,60.95,4
Both sexes,09 Burgos,Activity rate,2008,60.5,3
Both sexes,09 Burgos,Activity rate,2008,60.18,2
Both sexes,09 Burgos,Activity rate,2008,60.76,1
Both sexes,09 Burgos,Unemployment rate,2008,10.59,4
Both sexes,09 Burgos,Unemployment rate,2008,8.14,3
Both sexes,09 Burgos,Unemployment rate,2008,9.84,2
Both sexes,09 Burgos,Unemployment rate,2008,8.07,1
Both sexes,09 Burgos,Employment rate,2008,54.49,4
Both sexes,09 Burgos,Employment rate,2008,55.57,3
Both sexes,09 Burgos,Employment rate,2008,54.25,2
Both sexes,09 Burgos,Employment rate,2008,55.86,1
Both sexes,10 Cáceres,Activity rate,2008,50.28,4
Both sexes,10 Cáceres,Activity rate,2008,51.64,3
Both sexes,10 Cáceres,Activity rate,2008,52.05,2
Both sexes,10 Cáceres,Activity rate,2008,51.39,1
Both sexes,10 Cáceres,Unemployment rate,2008,15.97,4
Both sexes,10 Cáceres,Unemployment rate,2008,14.27,3
Both sexes,10 Cáceres,Unemployment rate,2008,12.21,2
Both sexes,10 Cáceres,Unemployment rate,2008,15.56,1
Both sexes,10 Cáceres,Employment rate,2008,42.25,4
Both sexes,10 Cáceres,Employment rate,2008,44.27,3
Both sexes,10 Cáceres,Employment rate,2008,45.69,2
Both sexes,10 Cáceres,Employment rate,2008,43.4,1
Both sexes,11 Cádiz,Activity rate,2008,56.09,4
Both sexes,11 Cádiz,Activity rate,2008,56.97,3
Both sexes,11 Cádiz,Activity rate,2008,56.58,2
Both sexes,11 Cádiz,Activity rate,2008,55.82,1
Both sexes,11 Cádiz,Unemployment rate,2008,21.8,4
Both sexes,11 Cádiz,Unemployment rate,2008,18.95,3
Both sexes,11 Cádiz,Unemployment rate,2008,18.1,2
Both sexes,11 Cádiz,Unemployment rate,2008,18.09,1
Both sexes,11 Cádiz,Employment rate,2008,43.86,4
Both sexes,11 Cádiz,Employment rate,2008,46.18,3
Both sexes,11 Cádiz,Employment rate,2008,46.34,2
Both sexes,11 Cádiz,Employment rate,2008,45.72,1
Both sexes,39 Cantabria,Activity rate,2008,57.12,4
Both sexes,39 Cantabria,Activity rate,2008,57.39,3
Both sexes,39 Cantabria,Activity rate,2008,57.16,2
Both sexes,39 Cantabria,Activity rate,2008,57.34,1
Both sexes,39 Cantabria,Unemployment rate,2008,8.81,4
Both sexes,39 Cantabria,Unemployment rate,2008,6.32,3
Both sexes,39 Cantabria,Unemployment rate,2008,7.1,2
Both sexes,39 Cantabria,Unemployment rate,2008,6.41,1
Both sexes,39 Cantabria,Employment rate,2008,52.08,4
Both sexes,39 Cantabria,Employment rate,2008,53.76,3
Both sexes,39 Cantabria,Employment rate,2008,53.1,2
Both sexes,39 Cantabria,Employment rate,2008,53.66,1
Both sexes,12 Castellón/Castelló,Activity rate,2008,62.74,4
Both sexes,12 Castellón/Castelló,Activity rate,2008,62.27,3
Both sexes,12 Castellón/Castelló,Activity rate,2008,63.13,2
Both sexes,12 Castellón/Castelló,Activity rate,2008,62.71,1
Both sexes,12 Castellón/Castelló,Unemployment rate,2008,14.29,4
Both sexes,12 Castellón/Castelló,Unemployment rate,2008,11.12,3
Both sexes,12 Castellón/Castelló,Unemployment rate,2008,9.35,2
Both sexes,12 Castellón/Castelló,Unemployment rate,2008,7.98,1
Both sexes,12 Castellón/Castelló,Employment rate,2008,53.77,4
Both sexes,12 Castellón/Castelló,Employment rate,2008,55.35,3
Both sexes,12 Castellón/Castelló,Employment rate,2008,57.23,2
Both sexes,12 Castellón/Castelló,Employment rate,2008,57.7,1
Both sexes,13 Ciudad Real,Activity rate,2008,55.11,4
Both sexes,13 Ciudad Real,Activity rate,2008,55.26,3
Both sexes,13 Ciudad Real,Activity rate,2008,55.09,2
Both sexes,13 Ciudad Real,Activity rate,2008,53.34,1
Both sexes,13 Ciudad Real,Unemployment rate,2008,15.91,4
Both sexes,13 Ciudad Real,Unemployment rate,2008,14.5,3
Both sexes,13 Ciudad Real,Unemployment rate,2008,12.46,2
Both sexes,13 Ciudad Real,Unemployment rate,2008,11.15,1
Both sexes,13 Ciudad Real,Employment rate,2008,46.34,4
Both sexes,13 Ciudad Real,Employment rate,2008,47.25,3
Both sexes,13 Ciudad Real,Employment rate,2008,48.22,2
Both sexes,13 Ciudad Real,Employment rate,2008,47.4,1
Both sexes,14 Córdoba,Activity rate,2008,56.76,4
Both sexes,14 Córdoba,Activity rate,2008,56.23,3
Both sexes,14 Córdoba,Activity rate,2008,55.81,2
Both sexes,14 Córdoba,Activity rate,2008,56.28,1
Both sexes,14 Córdoba,Unemployment rate,2008,20.19,4
Both sexes,14 Córdoba,Unemployment rate,2008,17.4,3
Both sexes,14 Córdoba,Unemployment rate,2008,15.45,2
Both sexes,14 Córdoba,Unemployment rate,2008,12.25,1
Both sexes,14 Córdoba,Employment rate,2008,45.3,4
Both sexes,14 Córdoba,Employment rate,2008,46.45,3
Both sexes,14 Córdoba,Employment rate,2008,47.19,2
Both sexes,14 Córdoba,Employment rate,2008,49.38,1
Both sexes,15 Coruña. A,Activity rate,2008,56.08,4
Both sexes,15 Coruña. A,Activity rate,2008,56.22,3
Both sexes,15 Coruña. A,Activity rate,2008,54.95,2
Both sexes,15 Coruña. A,Activity rate,2008,53.93,1
Both sexes,15 Coruña. A,Unemployment rate,2008,9.38,4
Both sexes,15 Coruña. A,Unemployment rate,2008,8.31,3
Both sexes,15 Coruña. A,Unemployment rate,2008,8.73,2
Both sexes,15 Coruña. A,Unemployment rate,2008,9.25,1
Both sexes,15 Coruña. A,Employment rate,2008,50.82,4
Both sexes,15 Coruña. A,Employment rate,2008,51.55,3
Both sexes,15 Coruña. A,Employment rate,2008,50.15,2
Both sexes,15 Coruña. A,Employment rate,2008,48.95,1
Both sexes,16 Cuenca,Activity rate,2008,51.75,4
Both sexes,16 Cuenca,Activity rate,2008,51.52,3
Both sexes,16 Cuenca,Activity rate,2008,52.74,2
Both sexes,16 Cuenca,Activity rate,2008,51.29,1
Both sexes,16 Cuenca,Unemployment rate,2008,9.8,4
Both sexes,16 Cuenca,Unemployment rate,2008,6.64,3
Both sexes,16 Cuenca,Unemployment rate,2008,8.65,2
Both sexes,16 Cuenca,Unemployment rate,2008,6.78,1
Both sexes,16 Cuenca,Employment rate,2008,46.68,4
Both sexes,16 Cuenca,Employment rate,2008,48.1,3
Both sexes,16 Cuenca,Employment rate,2008,48.18,2
Both sexes,16 Cuenca,Employment rate,2008,47.81,1
Both sexes,20 Gipuzkoa,Activity rate,2008,59.57,4
Both sexes,20 Gipuzkoa,Activity rate,2008,61.04,3
Both sexes,20 Gipuzkoa,Activity rate,2008,59.9,2
Both sexes,20 Gipuzkoa,Activity rate,2008,60.3,1
Both sexes,20 Gipuzkoa,Unemployment rate,2008,6.74,4
Both sexes,20 Gipuzkoa,Unemployment rate,2008,4.81,3
Both sexes,20 Gipuzkoa,Unemployment rate,2008,4.74,2
Both sexes,20 Gipuzkoa,Unemployment rate,2008,5.05,1
Both sexes,20 Gipuzkoa,Employment rate,2008,55.56,4
Both sexes,20 Gipuzkoa,Employment rate,2008,58.1,3
Both sexes,20 Gipuzkoa,Employment rate,2008,57.06,2
Both sexes,20 Gipuzkoa,Employment rate,2008,57.25,1
Both sexes,17 Girona,Activity rate,2008,65.59,4
Both sexes,17 Girona,Activity rate,2008,66.2,3
Both sexes,17 Girona,Activity rate,2008,65.95,2
Both sexes,17 Girona,Activity rate,2008,64.82,1
Both sexes,17 Girona,Unemployment rate,2008,13.86,4
Both sexes,17 Girona,Unemployment rate,2008,10.45,3
Both sexes,17 Girona,Unemployment rate,2008,9.71,2
Both sexes,17 Girona,Unemployment rate,2008,9.82,1
Both sexes,17 Girona,Employment rate,2008,56.5,4
Both sexes,17 Girona,Employment rate,2008,59.28,3
Both sexes,17 Girona,Employment rate,2008,59.55,2
Both sexes,17 Girona,Employment rate,2008,58.45,1
Both sexes,18 Granada,Activity rate,2008,55.82,4
Both sexes,18 Granada,Activity rate,2008,56.89,3
Both sexes,18 Granada,Activity rate,2008,57.03,2
Both sexes,18 Granada,Activity rate,2008,55.55,1
Both sexes,18 Granada,Unemployment rate,2008,23.39,4
Both sexes,18 Granada,Unemployment rate,2008,20.5,3
Both sexes,18 Granada,Unemployment rate,2008,18.45,2
Both sexes,18 Granada,Unemployment rate,2008,14.97,1
Both sexes,18 Granada,Employment rate,2008,42.77,4
Both sexes,18 Granada,Employment rate,2008,45.23,3
Both sexes,18 Granada,Employment rate,2008,46.51,2
Both sexes,18 Granada,Employment rate,2008,47.23,1
Both sexes,19 Guadalajara,Activity rate,2008,62.34,4
Both sexes,19 Guadalajara,Activity rate,2008,59.39,3
Both sexes,19 Guadalajara,Activity rate,2008,60.84,2
Both sexes,19 Guadalajara,Activity rate,2008,60.96,1
Both sexes,19 Guadalajara,Unemployment rate,2008,11.83,4
Both sexes,19 Guadalajara,Unemployment rate,2008,7.44,3
Both sexes,19 Guadalajara,Unemployment rate,2008,8.9,2
Both sexes,19 Guadalajara,Unemployment rate,2008,6.86,1
Both sexes,19 Guadalajara,Employment rate,2008,54.96,4
Both sexes,19 Guadalajara,Employment rate,2008,54.97,3
Both sexes,19 Guadalajara,Employment rate,2008,55.43,2
Both sexes,19 Guadalajara,Employment rate,2008,56.78,1
Both sexes,21 Huelva,Activity rate,2008,56.1,4
Both sexes,21 Huelva,Activity rate,2008,57.83,3
Both sexes,21 Huelva,Activity rate,2008,58.51,2
Both sexes,21 Huelva,Activity rate,2008,56.21,1
Both sexes,21 Huelva,Unemployment rate,2008,21.1,4
Both sexes,21 Huelva,Unemployment rate,2008,19.57,3
Both sexes,21 Huelva,Unemployment rate,2008,14.74,2
Both sexes,21 Huelva,Unemployment rate,2008,15.41,1
Both sexes,21 Huelva,Employment rate,2008,44.27,4
Both sexes,21 Huelva,Employment rate,2008,46.51,3
Both sexes,21 Huelva,Employment rate,2008,49.89,2
Both sexes,21 Huelva,Employment rate,2008,47.55,1
Both sexes,22 Huesca,Activity rate,2008,60.25,4
Both sexes,22 Huesca,Activity rate,2008,61.32,3
Both sexes,22 Huesca,Activity rate,2008,60.38,2
Both sexes,22 Huesca,Activity rate,2008,58.73,1
Both sexes,22 Huesca,Unemployment rate,2008,6.64,4
Both sexes,22 Huesca,Unemployment rate,2008,4.36,3
Both sexes,22 Huesca,Unemployment rate,2008,5.54,2
Both sexes,22 Huesca,Unemployment rate,2008,5.2,1
Both sexes,22 Huesca,Employment rate,2008,56.26,4
Both sexes,22 Huesca,Employment rate,2008,58.65,3
Both sexes,22 Huesca,Employment rate,2008,57.03,2
Both sexes,22 Huesca,Employment rate,2008,55.67,1
Both sexes,23 Jaén,Activity rate,2008,53.89,4
Both sexes,23 Jaén,Activity rate,2008,52.31,3
Both sexes,23 Jaén,Activity rate,2008,51.51,2
Both sexes,23 Jaén,Activity rate,2008,53.13,1
Both sexes,23 Jaén,Unemployment rate,2008,19.89,4
Both sexes,23 Jaén,Unemployment rate,2008,17.76,3
Both sexes,23 Jaén,Unemployment rate,2008,16.3,2
Both sexes,23 Jaén,Unemployment rate,2008,11.98,1
Both sexes,23 Jaén,Employment rate,2008,43.17,4
Both sexes,23 Jaén,Employment rate,2008,43.02,3
Both sexes,23 Jaén,Employment rate,2008,43.12,2
Both sexes,23 Jaén,Employment rate,2008,46.77,1
Both sexes,24 León,Activity rate,2008,50.24,4
Both sexes,24 León,Activity rate,2008,50.72,3
Both sexes,24 León,Activity rate,2008,49.54,2
Both sexes,24 León,Activity rate,2008,50.04,1
Both sexes,24 León,Unemployment rate,2008,10.47,4
Both sexes,24 León,Unemployment rate,2008,9.54,3
Both sexes,24 León,Unemployment rate,2008,10.11,2
Both sexes,24 León,Unemployment rate,2008,8.01,1
Both sexes,24 León,Employment rate,2008,44.98,4
Both sexes,24 León,Employment rate,2008,45.88,3
Both sexes,24 León,Employment rate,2008,44.53,2
Both sexes,24 León,Employment rate,2008,46.03,1
Both sexes,25 Lleida,Activity rate,2008,63.75,4
Both sexes,25 Lleida,Activity rate,2008,64.45,3
Both sexes,25 Lleida,Activity rate,2008,61.28,2
Both sexes,25 Lleida,Activity rate,2008,60.56,1
Both sexes,25 Lleida,Unemployment rate,2008,9.4,4
Both sexes,25 Lleida,Unemployment rate,2008,6.97,3
Both sexes,25 Lleida,Unemployment rate,2008,5.13,2
Both sexes,25 Lleida,Unemployment rate,2008,4.72,1
Both sexes,25 Lleida,Employment rate,2008,57.75,4
Both sexes,25 Lleida,Employment rate,2008,59.96,3
Both sexes,25 Lleida,Employment rate,2008,58.13,2
Both sexes,25 Lleida,Employment rate,2008,57.7,1
Both sexes,27 Lugo,Activity rate,2008,51.05,4
Both sexes,27 Lugo,Activity rate,2008,52.33,3
Both sexes,27 Lugo,Activity rate,2008,51.86,2
Both sexes,27 Lugo,Activity rate,2008,50.09,1
Both sexes,27 Lugo,Unemployment rate,2008,6.73,4
Both sexes,27 Lugo,Unemployment rate,2008,5.98,3
Both sexes,27 Lugo,Unemployment rate,2008,6.22,2
Both sexes,27 Lugo,Unemployment rate,2008,6.2,1
Both sexes,27 Lugo,Employment rate,2008,47.62,4
Both sexes,27 Lugo,Employment rate,2008,49.2,3
Both sexes,27 Lugo,Employment rate,2008,48.63,2
Both sexes,27 Lugo,Employment rate,2008,46.98,1
Both sexes,28 Madrid,Activity rate,2008,66.01,4
Both sexes,28 Madrid,Activity rate,2008,65.61,3
Both sexes,28 Madrid,Activity rate,2008,65.59,2
Both sexes,28 Madrid,Activity rate,2008,64.89,1
Both sexes,28 Madrid,Unemployment rate,2008,10.02,4
Both sexes,28 Madrid,Unemployment rate,2008,8.32,3
Both sexes,28 Madrid,Unemployment rate,2008,8.67,2
Both sexes,28 Madrid,Unemployment rate,2008,7.39,1
Both sexes,28 Madrid,Employment rate,2008,59.39,4
Both sexes,28 Madrid,Employment rate,2008,60.15,3
Both sexes,28 Madrid,Employment rate,2008,59.91,2
Both sexes,28 Madrid,Employment rate,2008,60.09,1
Both sexes,29 Málaga,Activity rate,2008,59.45,4
Both sexes,29 Málaga,Activity rate,2008,58.63,3
Both sexes,29 Málaga,Activity rate,2008,56.71,2
Both sexes,29 Málaga,Activity rate,2008,57.66,1
Both sexes,29 Málaga,Unemployment rate,2008,23.37,4
Both sexes,29 Málaga,Unemployment rate,2008,17.82,3
Both sexes,29 Málaga,Unemployment rate,2008,16.08,2
Both sexes,29 Málaga,Unemployment rate,2008,15.44,1
Both sexes,29 Málaga,Employment rate,2008,45.56,4
Both sexes,29 Málaga,Employment rate,2008,48.18,3
Both sexes,29 Málaga,Employment rate,2008,47.59,2
Both sexes,29 Málaga,Employment rate,2008,48.76,1
Both sexes,30 Murcia,Activity rate,2008,61.61,4
Both sexes,30 Murcia,Activity rate,2008,61.66,3
Both sexes,30 Murcia,Activity rate,2008,61.95,2
Both sexes,30 Murcia,Activity rate,2008,61.5,1
Both sexes,30 Murcia,Unemployment rate,2008,15.29,4
Both sexes,30 Murcia,Unemployment rate,2008,13.75,3
Both sexes,30 Murcia,Unemployment rate,2008,11.3,2
Both sexes,30 Murcia,Unemployment rate,2008,9.38,1
Both sexes,30 Murcia,Employment rate,2008,52.19,4
Both sexes,30 Murcia,Employment rate,2008,53.18,3
Both sexes,30 Murcia,Employment rate,2008,54.95,2
Both sexes,30 Murcia,Employment rate,2008,55.74,1
Both sexes,31 Navarra,Activity rate,2008,61.02,4
Both sexes,31 Navarra,Activity rate,2008,61.91,3
Both sexes,31 Navarra,Activity rate,2008,61.41,2
Both sexes,31 Navarra,Activity rate,2008,61.84,1
Both sexes,31 Navarra,Unemployment rate,2008,8.13,4
Both sexes,31 Navarra,Unemployment rate,2008,7.25,3
Both sexes,31 Navarra,Unemployment rate,2008,5.8,2
Both sexes,31 Navarra,Unemployment rate,2008,6.14,1
Both sexes,31 Navarra,Employment rate,2008,56.06,4
Both sexes,31 Navarra,Employment rate,2008,57.42,3
Both sexes,31 Navarra,Employment rate,2008,57.85,2
Both sexes,31 Navarra,Employment rate,2008,58.04,1
Both sexes,32 Ourense,Activity rate,2008,49.43,4
Both sexes,32 Ourense,Activity rate,2008,49.24,3
Both sexes,32 Ourense,Activity rate,2008,50.41,2
Both sexes,32 Ourense,Activity rate,2008,50.49,1
Both sexes,32 Ourense,Unemployment rate,2008,6.46,4
Both sexes,32 Ourense,Unemployment rate,2008,5.35,3
Both sexes,32 Ourense,Unemployment rate,2008,5.95,2
Both sexes,32 Ourense,Unemployment rate,2008,7.24,1
Both sexes,32 Ourense,Employment rate,2008,46.24,4
Both sexes,32 Ourense,Employment rate,2008,46.6,3
Both sexes,32 Ourense,Employment rate,2008,47.42,2
Both sexes,32 Ourense,Employment rate,2008,46.84,1
Both sexes,34 Palencia,Activity rate,2008,51.47,4
Both sexes,34 Palencia,Activity rate,2008,51.92,3
Both sexes,34 Palencia,Activity rate,2008,50.95,2
Both sexes,34 Palencia,Activity rate,2008,51.2,1
Both sexes,34 Palencia,Unemployment rate,2008,11.51,4
Both sexes,34 Palencia,Unemployment rate,2008,10.68,3
Both sexes,34 Palencia,Unemployment rate,2008,9.2,2
Both sexes,34 Palencia,Unemployment rate,2008,7.44,1
Both sexes,34 Palencia,Employment rate,2008,45.54,4
Both sexes,34 Palencia,Employment rate,2008,46.37,3
Both sexes,34 Palencia,Employment rate,2008,46.27,2
Both sexes,34 Palencia,Employment rate,2008,47.39,1
Both sexes,35 Palmas. Las,Activity rate,2008,62.31,4
Both sexes,35 Palmas. Las,Activity rate,2008,62.42,3
Both sexes,35 Palmas. Las,Activity rate,2008,62.07,2
Both sexes,35 Palmas. Las,Activity rate,2008,61.4,1
Both sexes,35 Palmas. Las,Unemployment rate,2008,22.31,4
Both sexes,35 Palmas. Las,Unemployment rate,2008,18.45,3
Both sexes,35 Palmas. Las,Unemployment rate,2008,17.03,2
Both sexes,35 Palmas. Las,Unemployment rate,2008,15.05,1
Both sexes,35 Palmas. Las,Employment rate,2008,48.41,4
Both sexes,35 Palmas. Las,Employment rate,2008,50.91,3
Both sexes,35 Palmas. Las,Employment rate,2008,51.5,2
Both sexes,35 Palmas. Las,Employment rate,2008,52.16,1
Both sexes,36 Pontevedra,Activity rate,2008,57.35,4
Both sexes,36 Pontevedra,Activity rate,2008,57.29,3
Both sexes,36 Pontevedra,Activity rate,2008,56.82,2
Both sexes,36 Pontevedra,Activity rate,2008,57.33,1
Both sexes,36 Pontevedra,Unemployment rate,2008,11.96,4
Both sexes,36 Pontevedra,Unemployment rate,2008,10.07,3
Both sexes,36 Pontevedra,Unemployment rate,2008,9.14,2
Both sexes,36 Pontevedra,Unemployment rate,2008,8.38,1
Both sexes,36 Pontevedra,Employment rate,2008,50.49,4
Both sexes,36 Pontevedra,Employment rate,2008,51.52,3
Both sexes,36 Pontevedra,Employment rate,2008,51.62,2
Both sexes,36 Pontevedra,Employment rate,2008,52.52,1
Both sexes,26 Rioja. La,Activity rate,2008,60.79,4
Both sexes,26 Rioja. La,Activity rate,2008,60.82,3
Both sexes,26 Rioja. La,Activity rate,2008,60.28,2
Both sexes,26 Rioja. La,Activity rate,2008,59.91,1
Both sexes,26 Rioja. La,Unemployment rate,2008,9.8,4
Both sexes,26 Rioja. La,Unemployment rate,2008,8.25,3
Both sexes,26 Rioja. La,Unemployment rate,2008,6.89,2
Both sexes,26 Rioja. La,Unemployment rate,2008,6.63,1
Both sexes,26 Rioja. La,Employment rate,2008,54.83,4
Both sexes,26 Rioja. La,Employment rate,2008,55.81,3
Both sexes,26 Rioja. La,Employment rate,2008,56.13,2
Both sexes,26 Rioja. La,Employment rate,2008,55.94,1
Both sexes,37 Salamanca,Activity rate,2008,52.5,4
Both sexes,37 Salamanca,Activity rate,2008,51.91,3
Both sexes,37 Salamanca,Activity rate,2008,51.23,2
Both sexes,37 Salamanca,Activity rate,2008,51.85,1
